activity_id,molregno,molecule_chembl_id,assay_id,assay_chembl_id,tid,target_chembl_id,target_name,target_type,standard_type,standard_value,standard_units,pchembl_value,assay_type,confidence_score,canonical_smiles,standard_inchi_key,pActivity,MolecularWeight,NumAtoms,NumHeavyAtoms,NumHeteroatoms,NumHDonors,NumHAcceptors,LogP,TPSA,NumAromaticRings,NumAliphaticRings,NumRings,AromaticProportion,NumRotatableBonds,NumSaturatedRings,FractionCSP3,MolMR,Lipinski_Violation
13845849,96021,CHEMBL972,1278696,CHEMBL3095874,104,CHEMBL2039,Amine oxidase [flavin-containing] B,SINGLE PROTEIN,IC50,6.13,nM,8.21,B,9,C#CCN(C)[C@H](C)Cc1ccccc1,MEZLKOACVSPNER-GFCCVEGCSA-N,8.212539525481585,187.286,14,14,1,0,1,2.1826,3.24,1,0,1,0.42857142857142855,4,0,0.38461538461538464,61.07100000000004,0
29150363,3310834,CHEMBL6165790,2624321,CHEMBL6100980,12697,CHEMBL325,Histone deacetylase 1,SINGLE PROTEIN,IC50,3370.0,nM,5.47,B,9,O=C(CCCCCCC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1)NO,ZNECSSTUELAIMK-KRWDZBQOSA-N,5.4723700991286615,466.51000000000033,33,33,11,3,7,1.9496999999999993,120.44000000000003,1,2,3,0.18181818181818182,11,2,0.5909090909090909,117.68790000000007,0
25897524,2904920,CHEMBL5556711,2441621,CHEMBL5521389,109449,CHEMBL3313835,S-adenosylmethionine synthase isoform type-2,SINGLE PROTEIN,IC50,794.33,nM,6.1,B,9,COc1ccc(-c2nccc3[nH]nc(C4CC4)c23)cc1,MDGTTXDVZGRPBW-UHFFFAOYSA-N,6.0999990348465305,265.316,20,20,4,1,3,3.5109000000000012,50.8,3,1,4,0.75,3,1,0.25,77.85170000000002,0
26754493,3000940,CHEMBL5783939,2588099,CHEMBL5730798,11177,CHEMBL3130,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform",SINGLE PROTEIN,IC50,5.0,nM,8.3,B,9,COc1ncc(N2CCOc3ccc(O[C@H]4CCN(C(=O)c5cn(C)cn5)C4)cc32)cc1C#N,BWLCKZUCOMEQEQ-IBGZPJMESA-N,8.301029995663981,460.4940000000002,34,34,10,0,9,2.519380000000001,105.74000000000001,3,2,5,0.5,5,1,0.3333333333333333,122.59150000000004,0
26960512,3059429,CHEMBL5842428,2588778,CHEMBL5731477,10264,CHEMBL4142,Fibroblast growth factor receptor 2,SINGLE PROTEIN,IC50,115.0,nM,6.94,B,9,C=CC(=O)N(C)c1cccc(-c2cc3c(cn2)CN(c2c(F)c(OC)cc(OC)c2F)C(=O)C32CC2)c1,ZQAOKGPEOCTXLO-UHFFFAOYSA-N,6.939302159646388,505.52100000000036,37,37,9,0,5,4.771200000000004,71.97,3,2,5,0.4864864864864865,6,1,0.25,134.84399999999997,1
23279136,2563458,CHEMBL4869687,2127370,CHEMBL4836715,55,CHEMBL215,Polyunsaturated fatty acid 5-lipoxygenase,SINGLE PROTEIN,IC50,1740.0,nM,5.76,B,9,C/C(=C\CC/C(C)=C/CC[C@]1(C)CCc2c(CN3CCOCC3)c(O)cc(C)c2O1)CCC=C(CO)CO,LECLCKVOPRFEFO-GXPMFIHESA-N,5.7594507517174005,527.7460000000004,38,38,6,3,6,5.760720000000009,82.39000000000001,1,2,3,0.15789473684210525,13,1,0.625,153.76439999999985,2
28064132,3213537,CHEMBL5996536,2592855,CHEMBL5735554,101568,CHEMBL5805,Toll-like receptor 8,SINGLE PROTEIN,IC50,4.5,nM,8.35,B,9,COc1cc(-c2[nH]c3ccc(C4CCC(N5CCC(F)C5)CC4)nc3c2C(C)C)cn2ncnc12,AHRRVLMWZSFVJS-UHFFFAOYSA-N,8.346787486224656,476.60000000000025,35,35,8,1,6,5.474600000000005,71.34,4,2,6,0.5142857142857142,5,2,0.5185185185185185,134.79869999999997,1
24821432,2165886,CHEMBL3956515,2226744,CHEMBL5140257,100417,CHEMBL4247,ALK tyrosine kinase receptor,SINGLE PROTEIN,IC50,150.0,nM,6.82,B,9,CN1CCN(c2ccc(-c3ccc4[nH]c5nccc(/C=C/c6ccccc6F)c5c4c3)cc2)CC1,ZNOWQVIKVUFSEK-VOTSOKGWSA-N,6.823908740944319,462.57200000000023,35,35,5,1,3,6.444400000000005,35.16,5,1,6,0.7142857142857143,4,1,0.16666666666666666,144.07369999999986,1
10961294,1354523,CHEMBL2058758,829355,CHEMBL2060146,11140,CHEMBL284,Dipeptidyl peptidase 4,SINGLE PROTEIN,IC50,0.42,nM,9.38,B,9,N#Cc1ccc2sc(N3CCN([C@@H]4CN[C@H](C(=O)N5CCSC5)C4)CC3)nc2c1,RFLYETIBPFUAHB-RDJZCZTQSA-N,9.3767507096021,428.5870000000003,29,29,9,1,8,1.5533799999999998,75.5,2,3,5,0.3103448275862069,3,3,0.55,117.35470000000004,0
12727835,1167687,CHEMBL1812662,954166,CHEMBL2351681,103147,CHEMBL1075097,Arginase-1,SINGLE PROTEIN,IC50,3430.0,nM,5.46,B,9,CC(N)(CCCCB(O)O)C(=O)O,VJCNFQNUKLFMMR-UHFFFAOYSA-N,5.464705879957229,189.02,13,13,6,4,4,-0.5685,103.78000000000002,0,0,0,0.0,6,0,0.8571428571428571,49.07780000000001,0
